comname,depth_slope,bt_slope,surf_slope,lat_slope,lon_slope,depth_p,bt_p,surf_p,lat_p,lon_p,num_obs
scup,0.1655735,0.01112282,0.006454173,0.02427757,0.02174322,0.4727572,0.6578957,0.8701181,0.01053634,0.01539817,100
sea raven,0.08529072,0.01201453,0.02904713,0.01046523,0.01414888,0.3048592,0.5169841,0.3106564,6.978703e-06,0.004105314,100
sea scallop,-0.1081766,0.004417366,0.03557372,0.009835392,0.02615499,0.1444887,0.7482262,0.3887854,0.09666668,0.01775656,100
silver hake,0.2870971,-0.006839882,0.009130215,0.03208995,0.0270182,0.1776547,0.3293937,0.7175752,1.050631e-10,2.84599e-07,100
smooth dogfish,0.6072952,0.01008459,0.01163042,0.01399428,0.03222621,0.171857,0.6667717,0.7192893,0.3323365,0.003359593,98
smooth skate,0.6711445,0.02099643,0.02387534,0.0112615,0.009722715,0.0141304,0.001594727,0.3773563,0.0003623373,0.01289633,100
spiny dogfish,0.2850404,-0.002884975,0.03007795,-0.008017327,-0.01226828,0.1830306,0.8115154,0.2186103,0.4309757,0.289331,100
spot,0.5866089,-0.01285081,-0.01500594,0.007589761,0.009295283,0.08410317,0.7289379,0.7288583,0.4136667,0.04611597,47
spotted hake,0.4391299,-0.003046166,0.002669144,0.02625369,0.02773581,0.0840058,0.7380044,0.9542795,1.078215e-07,4.934888e-07,100
striped bass,-1.422677,0.05318871,0.01590461,-0.04726841,-0.06934019,0.00136053,0.3613783,0.8263927,0.2609756,0.1958603,34
summer flounder,0.3390794,0.009957854,0.004162763,0.02812616,0.03713719,0.08679083,0.6640142,0.9154766,1.774577e-05,4.4469e-06,100
tautog,0.1300224,0.01945632,0.01763022,0.005733001,0.008845541,0.8696191,0.7995769,0.8528759,0.8903291,0.8368087,12
thorny skate,0.07350265,0.01211684,0.04009614,0.001596664,0.001288679,0.6427526,0.1567201,0.1148708,0.5430691,0.7702285,100
tilefish,-0.5174394,0.01297962,0.03834106,-0.002873292,-0.01115756,0.1115294,0.3982588,0.498672,0.6491975,0.2387614,58
weakfish,0.2702211,0.04772799,0.02747956,0.01378243,0.009271021,0.3366818,0.2867683,0.6332246,0.2521789,0.4262302,60
white hake,0.4953545,0.02070874,0.02973101,0.007014849,0.01252072,0.1011198,0.0003027658,0.1775867,0.0005666347,8.629935e-05,100
winter flounder,0.2702376,0.01905054,0.03761286,0.009977796,0.004028656,0.001881496,0.4509936,0.2419711,0.000566508,0.4115907,100
winter skate,0.6410528,0.02137841,0.03156187,-0.004644694,-0.003689969,0.0003964001,0.4077614,0.3372269,0.001640575,0.3171486,100
witch flounder,0.9008821,0.02394497,0.04524653,-0.005251991,0.009565129,2.735513e-08,0.002433932,0.04551744,0.1521348,0.02599303,100
yellowtail flounder,0.3140654,0.005802983,0.02448613,0.02476051,0.04160949,1.555351e-06,0.7872247,0.4668087,2.679188e-16,1.903915e-06,100
