"","Common Name","Season","slopeLat","slopeLon","pLat","pLon"
"36","longhorn sculpin","Spring",0.00924587093189167,-0.0193782265574098,4.94360724118028e-09,0.000100930051015338
"37","longhorn sculpin","Fall",0.0119649454070113,-0.00845339197117875,1.03193105258746e-12,0.0269875873818551
"38","northern sand lance","Spring",0.0313248602555472,0.0371990856324036,1.7798178066021e-06,0.00148940009475937
"39","northern sand lance","Fall",-0.010733625760309,-0.0155715952732534,0.266817537032848,0.333929727498562
"40","northern shortfin squid","Spring",0.0142848798460386,0.0190174014369685,0.0499962277117073,0.0978897032508871
"41","northern shortfin squid","Fall",-0.0417631442438567,-0.0390045258745704,8.50175614668295e-08,2.12915221022174e-05
"42","ocean pout","Spring",0.015976974428708,0.0143422027675619,5.61053000071634e-10,0.00308923880061339
"43","ocean pout","Fall",0.0074602063413276,0.0386359277864222,0.0246384598125241,1.87217687423292e-08
"44","pollock","Spring",0.01076132313581,-0.0148715657795457,3.4146786191642e-06,0.039110125359425
"45","pollock","Fall",0.0054319365785375,0.0108510386839817,0.0302810534619207,0.124399837824821
"46","red hake","Spring",0.0313478744877642,0.0549952012449132,2.06199904799835e-16,3.16775063059951e-24
"47","red hake","Fall",0.0222644537470459,0.0195553958120921,2.33394256382474e-17,1.61951231198463e-06
"48","scup","Spring",0.0460166587377363,0.0401303369996586,5.25915090996393e-17,3.0993177638233e-17
"49","scup","Fall",0.00253847922295877,0.0033561033880057,0.79599448576691,0.733048887055819
"50","sea raven","Spring",0.0131732175378092,0.0215154667954224,2.92429212515585e-09,9.78678073203096e-07
"51","sea raven","Fall",0.00775724389822621,0.00678229926551382,0.00130541856811961,0.205181976315925
"52","silver hake","Spring",0.0444738528562295,0.0407405066937361,1.0039048953403e-18,3.67305189531398e-11
"53","silver hake","Fall",0.0197060469155325,0.0132958934783524,5.37242358452105e-12,8.66031564809937e-05
"54","smooth dogfish","Spring",0.0017949197945388,0.00410064595551983,0.626327723877098,0.00467989331790192
"55","smooth dogfish","Fall",0.0257481195563365,0.0598706726105123,3.54141938949134e-05,3.06932255860879e-08
"56","smooth skate","Spring",0.0116309917427862,0.0189008544175627,0.000740645119825309,2.75736791403876e-06
"57","smooth skate","Fall",0.0108920070960795,0.000544575261785833,3.82738318288531e-07,0.880559997567122
"58","spiny dogfish","Spring",-0.025130478464973,-0.0339503716951161,8.7035867675033e-05,0.000116981024474362
"59","spiny dogfish","Fall",0.00909582471106521,0.00941380685214536,0.00925038617030812,0.0331521449020146
"60","spotted hake","Spring",0.0152141906131623,0.0164488755658749,0.00243677968899714,0.000117861349505522
"61","spotted hake","Fall",0.037293187999595,0.0390227356018532,6.98410247621301e-17,9.86015050999353e-10
"62","summer flounder","Spring",0.025695607156475,0.0299295579794114,7.10148118338007e-07,4.43196998903236e-05
"63","summer flounder","Fall",0.0305567226413422,0.0443448202647137,4.32052528820173e-10,6.61129088589713e-08
"64","tautog","Spring",-0.000524541374397358,0.00237801569277956,0.991472246278883,0.9615384021403
"65","tautog","Fall",NA,NA,NA,NA
"66","thorny skate","Spring",0.000545822967821077,0.00343264160311386,0.79785999358135,0.46234882801315
"67","thorny skate","Fall",0.00264750560942539,-0.0008552844364675,0.339172399680131,0.834772496743048
"68","weakfish","Spring",0.0601168221355646,0.0553914483769929,1.69367248802184e-06,6.500736716348e-07
"69","weakfish","Fall",-0.0205500015653324,-0.0255418630265332,0.0933225317416438,0.0173008920701629
"70","white hake","Spring",0.00754829144426308,0.0157838609471553,5.79269460513511e-06,1.4766198840299e-08
"71","white hake","Fall",0.00648140692197904,0.00925757772306513,5.71071374863077e-05,0.000533126970449356
"72","windowpane","Spring",0.00333176949585514,0.00971326311559672,0.0945385084994085,0.136550783691546
"73","windowpane","Fall",0.00131554463012322,0.00407419336066106,0.349275249675458,0.375841203593759
"74","winter flounder","Spring",0.0144716818077279,0.0030402459025645,9.7843790712617e-08,0.537557393809198
"75","winter flounder","Fall",0.00548391013277588,0.00501706648333259,0.0132833893001835,0.175306135692477
"76","winter skate","Spring",-0.00931223432709325,4.62610354293354e-05,2.82276767703546e-09,0.990609900023833
"77","winter skate","Fall",2.28454423866755e-05,-0.00742619840333832,0.97754078068388,0.00905927004885184
"78","witch flounder","Spring",-0.0124593840391189,0.00445987310115654,0.00393378823690753,0.360189029922103
"79","witch flounder","Fall",0.00195540225142532,0.0146703858704893,0.45271078044318,2.55205373634372e-05
"80","yellowtail flounder","Spring",0.0304425773903942,0.0469465494266484,4.03665722820284e-19,9.16110816687177e-07
"81","yellowtail flounder","Fall",0.0190784391119625,0.0362724222342243,1.40783681891841e-14,1.12323748012009e-06
